freq	real(S(1,1))
3.77000000010000003E9	1.33779607212496821E-1
3.78000000010000026E9	1.30723948138804058E-1
3.79000000010000004E9	1.27671767552066440E-1
3.80000000010000027E9	1.24623103499646559E-1
3.81000000009999962E9	1.21577993758247072E-1
3.82000000009999985E9	1.18536475834795763E-1
3.83000000010000008E9	1.15498586966865435E-1
3.84000000010000031E9	1.12464364123449956E-1
3.85000000010000054E9	1.09433844005675684E-1
3.86000000009999988E9	1.06407063047464057E-1
3.87000000010000011E9	1.03384057416161745E-1
3.88000000009999990E9	1.00364863013317374E-1
3.89000000010000013E9	9.73495154754284719E-2
3.90000000010000036E9	9.43380501746258204E-2
3.91000000009999971E9	9.13305022193555693E-2
3.92000000009999994E9	8.83269064552578698E-2
3.93000000010000017E9	8.53272974657595107E-2
3.94000000010000040E9	8.23317095730298121E-2
3.95000000010000019E9	7.93401768385382233E-2
3.96000000009999997E9	7.63527330640678681E-2
3.97000000009999976E9	7.33694117922778499E-2
3.98000000009999999E9	7.03902463076797602E-2
3.99000000010000022E9	6.74152696373437887E-2
4.00000000010000001E9	6.44445145517129614E-2
4.01000000009999980E9	6.14780135655441651E-2
4.02000000009999958E9	5.85157989385520771E-2
4.03000000010000026E9	5.55579026763899364E-2
4.04000000010000004E9	5.26043565314409101E-2
4.05000000010000072E9	4.96551920036452099E-2
4.06000000009999962E9	4.67104403414428937E-2
4.07000000010000029E9	4.37701325425141619E-2
4.08000000010000008E9	4.08342993547792243E-2
4.09000000009999987E9	3.79029712771752347E-2
4.10000000010000054E9	3.49761785606295117E-2
4.11000000009999944E9	3.20539512088275913E-2
4.12000000010000011E9	2.91363189792561705E-2
4.13000000009999990E9	2.62233113840220078E-2
4.14000000010000058E9	2.33149576907438760E-2
4.15000000010000036E9	2.04112869235302252E-2
4.16000000010000015E9	1.75123278638456004E-2
4.17000000009999994E9	1.46181090514894141E-2
4.18000000009999972E9	1.17286587854441571E-2
4.19000000010000040E9	8.84400512489924573E-3
4.20000000009999930E9	5.96417589012854243E-3
4.21000000009999908E9	3.08919866348733585E-3
4.22000000009999887E9	2.19100790314508131E-4
4.23000000009999866E9	-2.64609062008036577E-3
