VGS	VDS	fetCharTestingSmartSim0..IDS.i[0, ::]
-8.00000000000000000E-1	6.50000000000000000E-1	6.51188915748519115E-3
-8.00000000000000000E-1	7.00000000000000089E-1	6.87248969084184580E-3
-8.00000000000000000E-1	7.50000000000000089E-1	7.21177944813905292E-3
-8.00000000000000000E-1	8.00000000000000178E-1	7.53019474868005378E-3
-8.00000000000000000E-1	8.50000000000000178E-1	7.82828979814732584E-3
-8.00000000000000000E-1	9.00000000000000178E-1	8.10671761931221013E-3
-8.00000000000000000E-1	9.50000000000000355E-1	8.36621144168122477E-3
-8.00000000000000000E-1	1.00000000000000022E0	8.60756694771847641E-3
-8.00000000000000000E-1	1.05000000000000027E0	8.83162568889147614E-3
-8.00000000000000000E-1	1.10000000000000031E0	9.03925990069533292E-3
-8.00000000000000000E-1	1.15000000000000036E0	9.23135886623829904E-3
-8.00000000000000000E-1	1.20000000000000040E0	9.40881690609764831E-3
-8.00000000000000000E-1	1.25000000000000044E0	9.57252301007956419E-3
-8.00000000000000000E-1	1.30000000000000049E0	9.72335207533244095E-3
-8.00000000000000000E-1	1.35000000000000053E0	9.86215767519197506E-3
-8.00000000000000000E-1	1.40000000000000058E0	9.98976625371730265E-3
-8.00000000000000000E-1	1.45000000000000062E0	1.01069726211543398E-2
-8.00000000000000000E-1	1.50000000000000067E0	1.02145366142709149E-2
-8.00000000000000000E-1	1.55000000000000071E0	1.03131807812369103E-2
-8.00000000000000000E-1	1.60000000000000075E0	1.04035889520367797E-2
-8.00000000000000000E-1	1.65000000000000080E0	1.04864055609438678E-2
-8.00000000000000000E-1	1.70000000000000084E0	1.05622355961297676E-2
-8.00000000000000000E-1	1.75000000000000089E0	1.06316450619755165E-2
-8.00000000000000000E-1	1.80000000000000093E0	1.06951618512234470E-2
-8.00000000000000000E-1	1.85000000000000098E0	1.07532769360680969E-2
-8.00000000000000000E-1	1.90000000000000102E0	1.08064457991081797E-2
-8.00000000000000000E-1	1.95000000000000107E0	1.08550900363897784E-2
-8.00000000000000000E-1	2.00000000000000089E0	1.08995990753099559E-2
-8.00000000000000000E-1	2.05000000000000071E0	1.09403319597640980E-2
-8.00000000000000000E-1	2.10000000000000053E0	1.09776191635338605E-2
-8.00000000000000000E-1	2.15000000000000036E0	1.10117644005087501E-2
-8.00000000000000000E-1	2.20000000000000018E0	1.10430464069381085E-2
-8.00000000000000000E-1	2.25000000000000000E0	1.10717206765771214E-2
-8.00000000000000000E-1	2.29999999999999982E0	1.10980211343929747E-2
-8.00000000000000000E-1	2.34999999999999964E0	1.11221617385180571E-2
-8.00000000000000000E-1	2.39999999999999947E0	1.11443380034632278E-2
-8.00000000000000000E-1	2.44999999999999929E0	1.11647284403199731E-2
-8.00000000000000000E-1	2.49999999999999911E0	1.11834959118697475E-2
-8.00000000000000000E-1	2.54999999999999893E0	1.12007889022544616E-2
-8.00000000000000000E-1	2.59999999999999876E0	1.12167427022172306E-2
-8.00000000000000000E-1	2.64999999999999858E0	1.12314805119546812E-2
-8.00000000000000000E-1	2.69999999999999840E0	1.12451144643894030E-2
-8.00000000000000000E-1	2.74999999999999822E0	1.12577465722186187E-2
-8.00000000000000000E-1	2.79999999999999805E0	1.12694696024642904E-2
-8.00000000000000000E-1	2.84999999999999787E0	1.12803678824764497E-2
-8.00000000000000000E-1	2.89999999999999769E0	1.12905180414532436E-2
-8.00000000000000000E-1	2.94999999999999751E0	1.12999896915640452E-2
-8.00000000000000000E-1	2.99999999999999734E0	1.13088460527162993E-2
-8.00000000000000000E-1	3.04999999999999716E0	1.13171445249085045E-2
-8.00000000000000000E-1	3.09999999999999698E0	1.13249372119759362E-2
-8.00000000000000000E-1	3.14999999999999680E0	1.13322714003731262E-2
-8.00000000000000000E-1	3.19999999999999662E0	1.13391899964558696E-2
-8.00000000000000000E-1	3.24999999999999645E0	1.13457319255345501E-2
-8.00000000000000000E-1	3.29999999999999627E0	1.13519324957738221E-2
-8.00000000000000000E-1	3.34999999999999609E0	1.13578237298165563E-2
-8.00000000000000000E-1	3.39999999999999591E0	1.13634346668148600E-2
-8.00000000000000000E-1	3.44999999999999574E0	1.13687916373619702E-2
-8.00000000000000000E-1	3.49999999999999556E0	1.13739185136353171E-2
-8.00000000000000000E-1	3.54999999999999538E0	1.13788369368869469E-2
-8.00000000000000000E-1	3.59999999999999520E0	1.13835665242512318E-2
-8.00000000000000000E-1	3.64999999999999503E0	1.13881250566837333E-2
-8.00000000000000000E-1	3.69999999999999485E0	1.13925286496981326E-2
-8.00000000000000000E-1	3.74999999999999467E0	1.13967919084306613E-2
-8.00000000000000000E-1	3.79999999999999449E0	1.14009280684341174E-2
-8.00000000000000000E-1	3.84999999999999432E0	1.14049491234844580E-2
-8.00000000000000000E-1	3.89999999999999414E0	1.14088659415731830E-2
-8.00000000000000000E-1	3.94999999999999396E0	1.14126883701574444E-2
-8.00000000000000000E-1	3.99999999999999378E0	1.14164253316459607E-2
-8.00000000000000000E-1	4.04999999999999361E0	1.14200849100130042E-2
-8.00000000000000000E-1	4.09999999999999343E0	1.14236744293534676E-2
-8.00000000000000000E-1	4.14999999999999325E0	1.14272005251198272E-2
-8.00000000000000000E-1	4.19999999999999307E0	1.14306692087150052E-2
-8.00000000000000000E-1	4.24999999999999289E0	1.14340859260548910E-2
-8.00000000000000000E-1	4.29999999999999272E0	1.14374556106581071E-2
-8.00000000000000000E-1	4.34999999999999254E0	1.14407827317706490E-2
