VGS	VDS	aLookAtMe_SimWizard0..IDS.i[0, ::]
-1.15000000000000036E0	3.00000000000000044E-1	7.13771094635100489E-4
-1.15000000000000036E0	4.00000000000000000E-1	9.25944328366594505E-4
-1.15000000000000036E0	5.00000000000000000E-1	1.12088243820530042E-3
-1.15000000000000036E0	6.00000000000000000E-1	1.29733160363372457E-3
-1.15000000000000036E0	7.00000000000000000E-1	1.45488742863051002E-3
-1.15000000000000036E0	7.99999999999999911E-1	1.59386269395529201E-3
-1.15000000000000036E0	9.00000000000000000E-1	1.71512431287587197E-3
-1.15000000000000036E0	0.99999999999999989E0	1.81992559943310650E-3
-1.15000000000000036E0	1.09999999999999987E0	1.90975283757093761E-3
-1.15000000000000036E0	1.19999999999999996E0	1.98619718609178486E-3
-1.15000000000000036E0	1.30000000000000004E0	2.05085606297005185E-3
-1.15000000000000036E0	1.40000000000000013E0	2.10526320838258219E-3
-1.15000000000000036E0	1.50000000000000022E0	2.15084371503097715E-3
-1.15000000000000036E0	1.60000000000000031E0	2.18888906750246992E-3
-1.15000000000000036E0	1.70000000000000040E0	2.22054712579546720E-3
-1.15000000000000036E0	1.80000000000000049E0	2.24682253350831296E-3
-1.15000000000000036E0	1.90000000000000058E0	2.26858385927257089E-3
-1.15000000000000036E0	2.00000000000000044E0	2.28657465264927762E-3
-1.15000000000000036E0	2.10000000000000053E0	2.30142638300999725E-3
-1.15000000000000036E0	2.20000000000000062E0	2.31367187740228442E-3
-1.15000000000000036E0	2.30000000000000071E0	2.32375837216403047E-3
-1.15000000000000036E0	2.40000000000000080E0	2.33205965775006696E-3
-1.15000000000000036E0	2.50000000000000089E0	2.33888705083088411E-3
-1.15000000000000036E0	2.60000000000000098E0	2.34449909740306417E-3
-1.15000000000000036E0	2.70000000000000107E0	2.34911001789219220E-3
-1.15000000000000036E0	2.80000000000000115E0	2.35289696835716677E-3
-1.15000000000000036E0	2.90000000000000124E0	2.35600622501445267E-3
-1.15000000000000036E0	3.00000000000000133E0	2.35855841275261513E-3
-1.15000000000000036E0	3.10000000000000142E0	2.36065289947015922E-3
-1.15000000000000036E0	3.20000000000000151E0	2.36237147200814279E-3
-1.15000000000000036E0	3.30000000000000160E0	2.36378139954957955E-3
-1.15000000000000036E0	3.40000000000000169E0	2.36493797880570877E-3
-1.15000000000000036E0	3.50000000000000178E0	2.36588664346054944E-3
-1.15000000000000036E0	3.60000000000000187E0	2.36666470899277037E-3
-1.15000000000000036E0	3.70000000000000195E0	2.36730281356593819E-3
-1.15000000000000036E0	3.80000000000000204E0	2.36782610636251345E-3
-1.15000000000000036E0	3.90000000000000213E0	2.36825522657659615E-3
-1.15000000000000036E0	4.00000000000000178E0	2.36860710923798479E-3
-1.15000000000000036E0	4.10000000000000142E0	2.36889564802335917E-3
-1.15000000000000036E0	4.20000000000000107E0	2.36913224011728696E-3
-1.15000000000000036E0	4.30000000000000071E0	2.36932623389881236E-3
-1.15000000000000036E0	4.40000000000000036E0	2.36948529664011964E-3
-1.15000000000000036E0	4.50000000000000000E0	2.36961571641226243E-3
-1.15000000000000036E0	4.59999999999999964E0	2.36972264990548886E-3
-1.15000000000000036E0	4.69999999999999929E0	2.36981032580967055E-3
-1.15000000000000036E0	4.79999999999999893E0	2.36988221169426438E-3
-1.15000000000000036E0	4.89999999999999858E0	2.36994115091945856E-3
-1.15000000000000036E0	4.99999999999999822E0	2.36998947494656953E-3
-1.15000000000000036E0	5.09999999999999787E0	2.37002909545917273E-3
-1.15000000000000036E0	5.19999999999999751E0	2.37006157991873234E-3
-1.15000000000000036E0	5.29999999999999716E0	2.37008821352912591E-3
-1.15000000000000036E0	5.39999999999999680E0	2.37011005005210951E-3
-1.15000000000000036E0	5.49999999999999645E0	2.37012795347841410E-3
-1.15000000000000036E0	5.59999999999999609E0	2.37014263219816224E-3
-1.15000000000000036E0	5.69999999999999574E0	2.37015466702041921E-3
-1.15000000000000036E0	5.79999999999999538E0	2.37016453414818962E-3
-1.15000000000000036E0	5.89999999999999503E0	2.37017262401689210E-3
-1.15000000000000036E0	6.00000000000000000E0	2.37017925674054020E-3

VGS	VDS	aLookAtMe_SimWizard0..IDS.i[6, ::]
-1.10000000000000031E0	1.00000000000000000E-1	3.49206438566090860E-4
-1.10000000000000031E0	2.00000000000000000E-1	6.86481596456756193E-4
-1.10000000000000031E0	3.00000000000000044E-1	1.00652356592956504E-3
-1.10000000000000031E0	4.00000000000000000E-1	1.30512894767999610E-3
-1.10000000000000031E0	5.00000000000000000E-1	1.57934653967409466E-3
-1.10000000000000031E0	6.00000000000000000E-1	1.82749295257816780E-3
-1.10000000000000031E0	7.00000000000000000E-1	2.04905183799591617E-3
-1.10000000000000031E0	7.99999999999999911E-1	2.24449228375515109E-3
-1.10000000000000031E0	9.00000000000000000E-1	2.41504569859653540E-3
-1.10000000000000031E0	0.99999999999999989E0	2.56247605122184519E-3
-1.10000000000000031E0	1.09999999999999987E0	2.68886911107721271E-3
-1.10000000000000031E0	1.19999999999999996E0	2.79645585314679979E-3
-1.10000000000000031E0	1.30000000000000004E0	2.88747595233952037E-3
-1.10000000000000031E0	1.40000000000000013E0	2.96408055069771859E-3
-1.10000000000000031E0	1.50000000000000022E0	3.02826942568630031E-3
-1.10000000000000031E0	1.60000000000000031E0	3.08185588204855154E-3
-1.10000000000000031E0	1.70000000000000040E0	3.12645245731818378E-3
-1.10000000000000031E0	1.80000000000000049E0	3.16347121980184554E-3
-1.10000000000000031E0	1.90000000000000058E0	3.19413354220690016E-3
-1.10000000000000031E0	2.00000000000000044E0	3.21948542095814005E-3
-1.10000000000000031E0	2.10000000000000053E0	3.24041549443188037E-3
-1.10000000000000031E0	2.20000000000000062E0	3.25767381135299905E-3
-1.10000000000000031E0	2.30000000000000071E0	3.27189009666296915E-3
-1.10000000000000031E0	2.40000000000000080E0	3.28359077373001984E-3
-1.10000000000000031E0	2.50000000000000089E0	3.29321436048441019E-3
-1.10000000000000031E0	2.60000000000000098E0	3.30112509713699165E-3
-1.10000000000000031E0	2.70000000000000107E0	3.30762481554248922E-3
-1.10000000000000031E0	2.80000000000000115E0	3.31296315047863743E-3
-1.10000000000000031E0	2.90000000000000124E0	3.31734624083813223E-3
